aluminium,ammonia,arsenic,barium,cadmium,chloramine,chromium,copper,flouride,bacteria,viruses,lead,nitrates,nitrites,mercury,perchlorate,radium,selenium,silver,uranium,is_safe
1.15,20.06,0.02,2.73,0.005,1.86,0.81,0.36,0.73,0.47,0.0,0.003,14.01,1.36,0.005,10.62,4.48,0.03,0.38,0.02,1.0
4.8,11.92,0.05,3.2,0.006,7.37,0.46,1.43,1.49,0.58,0.58,0.16,6.03,1.25,0.0,33.02,6.74,0.0,0.42,0.0,1.0
0.47,26.77,0.02,0.29,0.006,7.36,0.15,1.65,0.08,0.51,0.51,0.025,13.73,1.53,0.002,30.29,4.41,0.08,0.34,0.06,0.0
1.62,6.54,0.01,1.46,0.001,3.07,0.11,0.05,1.21,0.33,0.001,0.015,1.72,1.02,0.001,3.47,6.28,0.09,0.47,0.01,1.0
2.68,9.61,0.02,1.32,0.007,2.89,0.69,0.16,0.87,0.67,0.67,0.18,11.22,1.65,0.003,28.47,7.28,0.07,0.12,0.01,1.0
0.09,12.26,0.04,3.61,0.001,3.58,0.47,0.13,1.29,0.82,0.82,0.072,12.75,1.37,0.006,32.48,1.45,0.02,0.31,0.04,1.0
4.66,0.27,0.04,0.16,0.001,6.75,0.09,1.72,0.89,0.09,0.005,0.184,10.2,1.47,0.001,25.77,5.26,0.0,0.1,0.08,1.0
2.74,14.81,0.02,3.84,0.005,7.97,0.25,0.65,0.73,0.53,0.53,0.132,4.13,1.14,0.007,33.97,2.2,0.05,0.05,0.05,1.0
1.79,16.6,0.03,2.36,0.001,3.2,0.42,1.67,1.21,0.65,0.65,0.042,10.34,1.51,0.005,45.87,0.25,0.06,0.12,0.05,0.0
2.5,10.25,0.03,1.5,0.005,3.11,0.52,1.89,1.18,0.75,0.75,0.092,7.08,1.66,0.002,45.37,3.4,0.07,0.29,0.07,0.0
3.52,2.07,0.04,2.46,0.007,1.33,0.32,0.94,0.26,0.28,0.009,0.023,10.78,1.37,0.003,22.9,4.23,0.06,0.03,0.04,1.0
4.15,19.07,0.001,1.99,0.006,4.43,0.84,0.85,1.01,0.19,0.008,0.045,2.09,1.22,0.005,50.87,4.14,0.01,0.02,0.01,0.0
3.78,19.17,0.05,0.76,0.006,6.6,0.7,0.29,0.5,0.7,0.7,0.136,18.77,1.99,0.001,35.36,3.09,0.02,0.38,0.02,0.0
1.82,9.2,0.01,1.74,0.009,0.63,0.3,1.7,0.29,0.78,0.78,0.185,12.75,1.66,0.006,33.24,2.58,0.03,0.4,0.04,1.0
2.91,5.19,0.02,2.66,0.008,5.07,0.33,0.72,0.42,0.75,0.75,0.07,12.32,1.26,0.005,21.38,3.49,0.0,0.38,0.03,1.0
4.3,16.35,0.03,2.9,0.008,5.14,0.29,1.5,0.25,0.02,0.0,0.083,6.22,1.91,0.009,50.04,1.39,0.02,0.11,0.0,0.0
3.24,2.01,0.001,1.6,0.002,0.4,0.24,1.52,0.76,0.57,0.57,0.155,7.89,1.91,0.002,58.58,3.04,0.1,0.2,0.08,0.0
3.53,5.43,0.04,2.34,0.002,4.13,0.7,1.51,0.89,0.55,0.55,0.164,8.49,1.49,0.001,37.15,0.25,0.08,0.01,0.09,1.0
3.04,22.29,0.05,1.87,0.001,2.52,0.46,0.24,0.66,0.09,0.008,0.17,16.17,1.51,0.006,14.55,0.68,0.02,0.09,0.02,1.0
2.21,29.72,0.02,1.4,0.008,3.71,0.47,1.16,1.06,0.82,0.82,0.12,6.63,1.57,0.001,4.28,7.9,0.04,0.5,0.04,1.0
2.47,25.2,0.04,1.01,0.008,2.78,0.04,0.87,0.16,0.41,0.003,0.043,6.83,1.42,0.008,46.06,5.99,0.02,0.4,0.05,0.0
1.92,19.73,0.03,1.11,0.008,1.87,0.16,0.02,0.04,0.76,0.76,0.198,10.69,1.33,0.006,15.3,4.8,0.06,0.41,0.02,1.0
1.22,23.18,0.04,3.65,0.001,4.43,0.63,1.94,1.27,0.08,0.008,0.194,13.32,1.93,0.005,23.84,4.8,0.08,0.22,0.07,0.0
2.12,23.58,0.001,0.57,0.003,4.3,0.82,1.57,0.43,0.04,0.003,0.089,14.77,1.97,0.005,0.91,5.11,0.03,0.2,0.03,1.0
4.19,23.37,0.05,1.65,0.006,7.09,0.47,1.95,1.38,0.46,0.003,0.191,18.27,1.03,0.009,29.38,2.4,0.05,0.35,0.02,0.0
4.21,17.84,0.01,3.94,0.008,2.26,0.03,1.4,0.5,0.28,0.005,0.044,2.71,1.8,0.001,1.02,7.9,0.04,0.28,0.03,1.0
4.07,10.36,0.01,3.29,0.003,0.41,0.39,0.55,1.27,0.61,0.61,0.087,16.37,1.1,0.009,53.02,2.53,0.09,0.37,0.05,0.0
2.56,1.36,0.04,3.45,0.003,3.42,0.03,1.39,1.12,0.1,0.001,0.108,9.36,1.58,0.009,42.15,4.39,0.02,0.11,0.07,1.0
3.55,26.04,0.03,1.94,0.005,0.01,0.34,0.37,1.29,0.62,0.62,0.122,12.41,1.05,0.007,49.82,2.73,0.04,0.03,0.08,0.0
3.94,21.58,0.04,2.9,0.006,5.65,0.08,0.35,1.43,0.71,0.71,0.061,17.79,1.04,0.004,6.89,2.9,0.05,0.46,0.03,1.0
1.22,1.36,0.01,3.2,0.001,5.72,0.45,1.45,0.52,0.18,0.003,0.088,0.86,1.51,0.007,49.49,6.59,0.01,0.34,0.01,1.0
0.8,13.59,0.03,3.16,0.002,0.89,0.2,1.06,0.53,0.96,0.96,0.158,11.57,1.64,0.002,35.76,3.42,0.03,0.15,0.03,1.0
3.31,19.49,0.04,1.36,0.002,1.57,0.45,0.5,0.74,0.5,0.5,0.074,18.64,1.41,0.008,8.41,3.22,0.05,0.32,0.04,1.0
2.59,27.47,0.01,1.8,0.003,2.74,0.8,0.27,0.93,0.5,0.5,0.07,15.93,1.44,0.002,11.49,4.16,0.06,0.11,0.02,1.0
3.9,9.79,0.001,1.6,0.008,0.79,0.34,0.01,0.01,0.5,0.5,0.148,10.33,1.95,0.007,47.93,1.23,0.06,0.01,0.02,1.0
3.15,17.13,0.01,2.63,0.003,7.8,0.4,1.24,0.92,0.42,0.006,0.172,6.13,1.06,0.004,37.72,5.9,0.08,0.21,0.01,0.0
0.18,11.66,0.04,0.86,0.005,3.49,0.8,1.54,0.32,0.33,0.006,0.041,18.58,1.36,0.009,57.74,7.25,0.06,0.28,0.08,0.0
3.86,11.02,0.01,3.64,0.003,3.83,0.14,1.04,1.39,0.07,0.006,0.176,3.45,1.15,0.008,53.68,6.42,0.03,0.43,0.05,0.0
1.25,5.66,0.001,0.87,0.006,3.81,0.15,0.33,1.33,0.59,0.59,0.136,11.06,1.92,0.008,50.93,4.39,0.01,0.39,0.01,0.0
0.18,4.08,0.04,0.57,0.006,1.69,0.27,0.6,0.07,0.79,0.79,0.164,0.65,1.14,0.01,53.23,3.44,0.06,0.44,0.04,1.0
2.29,16.05,0.01,0.29,0.006,5.07,0.19,1.64,0.61,1.0,1.0,0.038,11.26,1.49,0.006,45.26,4.33,0.02,0.28,0.08,0.0
0.07,14.96,0.01,0.17,0.002,6.21,0.0,0.81,0.24,0.15,0.005,0.005,16.78,1.58,0.002,18.68,1.67,0.04,0.0,0.03,1.0
2.71,27.52,0.01,3.15,0.003,1.07,0.13,1.69,0.98,0.28,0.004,0.181,5.92,1.79,0.008,17.62,2.65,0.07,0.4,0.01,1.0
4.18,29.27,0.05,1.03,0.003,0.5,0.77,1.51,0.36,0.78,0.78,0.159,13.48,1.59,0.008,46.26,6.2,0.07,0.12,0.07,0.0
4.34,1.34,0.02,1.82,0.005,3.95,0.8,1.99,0.48,0.33,0.001,0.05,17.88,1.28,0.0,22.76,6.66,0.09,0.16,0.0,1.0
0.92,9.34,0.04,1.39,0.004,7.59,0.19,1.22,1.06,0.27,0.008,0.103,3.7,1.42,0.007,20.28,4.35,0.01,0.41,0.07,1.0
2.39,14.48,0.02,1.14,0.005,0.98,0.23,1.3,0.37,0.98,0.98,0.156,10.15,1.09,0.008,21.22,3.24,0.05,0.44,0.0,1.0
0.9,5.48,0.05,3.58,0.001,4.95,0.15,1.38,1.39,0.87,0.87,0.047,2.77,1.21,0.001,25.15,7.35,0.09,0.44,0.08,1.0
0.89,23.24,0.03,3.35,0.008,0.8,0.26,0.5,0.85,0.44,0.004,0.034,3.82,1.2,0.007,16.42,3.23,0.09,0.03,0.02,1.0
2.4,26.12,0.03,3.57,0.002,5.29,0.3,0.78,0.09,0.83,0.83,0.138,10.49,1.47,0.009,48.81,4.63,0.09,0.18,0.05,0.0
4.91,20.65,0.02,2.69,0.001,2.45,0.19,0.17,0.59,0.07,0.008,0.159,18.25,1.51,0.008,17.53,6.49,0.01,0.31,0.09,1.0
3.37,18.41,0.05,2.36,0.004,1.36,0.68,1.45,1.4,0.28,0.003,0.102,8.47,1.48,0.002,19.33,1.31,0.01,0.18,0.04,1.0
3.08,16.77,0.03,1.81,0.003,0.05,0.03,0.04,1.16,0.51,0.51,0.044,5.17,1.47,0.006,51.61,3.72,0.04,0.14,0.08,0.0
3.69,12.46,0.05,2.01,0.008,6.5,0.8,1.8,1.46,0.31,0.004,0.113,9.8,1.13,0.006,14.24,3.95,0.09,0.44,0.07,1.0
4.71,23.41,0.02,1.63,0.003,6.75,0.43,1.83,1.03,0.48,0.009,0.137,10.15,1.68,0.002,19.6,1.08,0.06,0.27,0.02,1.0
3.36,19.29,0.03,0.56,0.002,4.68,0.35,1.37,0.65,0.09,0.006,0.034,10.99,1.63,0.008,44.04,6.75,0.06,0.42,0.02,0.0
4.46,28.08,0.02,3.93,0.004,5.1,0.38,0.52,0.22,0.69,0.69,0.064,12.59,1.37,0.004,47.56,6.63,0.03,0.14,0.07,0.0
4.5,14.44,0.02,1.72,0.009,3.61,0.59,1.45,0.28,0.52,0.52,0.197,8.05,1.45,0.006,15.98,4.47,0.06,0.02,0.08,1.0
0.57,4.63,0.04,1.31,0.006,4.23,0.49,0.75,0.44,0.68,0.68,0.157,15.47,1.05,0.002,53.72,7.42,0.04,0.3,0.04,0.0
2.69,4.0,0.02,0.28,0.005,0.81,0.33,0.07,0.7,0.01,0.0,0.008,6.74,1.69,0.006,20.14,7.85,0.06,0.13,0.08,1.0
4.3,2.03,0.01,3.09,0.004,4.06,0.28,1.66,0.79,0.73,0.73,0.059,4.83,1.2,0.006,44.88,4.05,0.06,0.24,0.05,1.0
